Times,True Positives,False Positives,bagfileType
0.0,67,6,multi_region_no_interest
0.1,70,7,multi_region_no_interest
0.21,69,10,multi_region_no_interest
0.32,64,13,multi_region_no_interest
0.42,70,7,multi_region_no_interest
0.54,63,2,multi_region_no_interest
0.64,67,10,multi_region_no_interest
0.74,67,10,multi_region_no_interest
0.96,81,12,multi_region_no_interest
1.07,72,4,multi_region_no_interest
1.17,66,7,multi_region_no_interest
1.28,68,7,multi_region_no_interest
1.38,77,4,multi_region_no_interest
1.49,75,6,multi_region_no_interest
1.61,67,11,multi_region_no_interest
1.71,64,11,multi_region_no_interest
1.8,80,6,multi_region_no_interest
1.92,69,5,multi_region_no_interest
2.03,66,2,multi_region_no_interest
2.13,68,10,multi_region_no_interest
2.23,66,8,multi_region_no_interest
2.34,73,9,multi_region_no_interest
2.44,75,9,multi_region_no_interest
2.55,74,5,multi_region_no_interest
2.65,76,10,multi_region_no_interest
2.76,78,6,multi_region_no_interest
2.86,67,12,multi_region_no_interest
2.97,76,2,multi_region_no_interest
3.08,75,12,multi_region_no_interest
3.18,80,10,multi_region_no_interest
3.29,70,10,multi_region_no_interest
3.39,72,12,multi_region_no_interest
3.49,77,10,multi_region_no_interest
3.59,75,9,multi_region_no_interest
3.7,60,4,multi_region_no_interest
3.81,78,14,multi_region_no_interest
3.91,71,12,multi_region_no_interest
4.01,72,11,multi_region_no_interest
4.12,67,15,multi_region_no_interest
4.24,67,9,multi_region_no_interest
4.34,66,9,multi_region_no_interest
4.45,68,11,multi_region_no_interest
4.55,65,14,multi_region_no_interest
4.66,64,10,multi_region_no_interest
4.76,65,8,multi_region_no_interest
4.86,73,9,multi_region_no_interest
4.96,70,7,multi_region_no_interest
5.06,75,15,multi_region_no_interest
5.17,72,15,multi_region_no_interest
5.27,72,12,multi_region_no_interest
5.38,78,9,multi_region_no_interest
5.48,64,9,multi_region_no_interest
5.59,79,9,multi_region_no_interest
5.69,70,11,multi_region_no_interest
5.81,73,12,multi_region_no_interest
5.92,74,14,multi_region_no_interest
6.02,67,9,multi_region_no_interest
6.12,72,7,multi_region_no_interest
6.23,70,8,multi_region_no_interest
6.34,62,12,multi_region_no_interest
6.44,71,14,multi_region_no_interest
6.54,65,17,multi_region_no_interest
6.65,77,12,multi_region_no_interest
6.74,70,14,multi_region_no_interest
6.86,73,14,multi_region_no_interest
6.97,74,14,multi_region_no_interest
7.07,63,8,multi_region_no_interest
7.17,66,12,multi_region_no_interest
7.28,65,10,multi_region_no_interest
7.38,70,14,multi_region_no_interest
7.49,66,5,multi_region_no_interest
7.6,73,9,multi_region_no_interest
7.7,66,9,multi_region_no_interest
7.81,74,7,multi_region_no_interest
7.92,69,9,multi_region_no_interest
8.02,64,14,multi_region_no_interest
8.14,77,9,multi_region_no_interest
8.24,70,11,multi_region_no_interest
8.34,70,12,multi_region_no_interest
8.44,68,14,multi_region_no_interest
8.55,79,16,multi_region_no_interest
8.65,60,8,multi_region_no_interest
8.75,68,10,multi_region_no_interest
8.86,68,10,multi_region_no_interest
8.96,69,11,multi_region_no_interest
9.06,78,9,multi_region_no_interest
9.18,77,12,multi_region_no_interest
9.3,78,12,multi_region_no_interest
9.4,82,11,multi_region_no_interest
9.51,78,10,multi_region_no_interest
9.61,71,8,multi_region_no_interest
9.71,68,12,multi_region_no_interest
9.81,82,9,multi_region_no_interest
9.91,67,12,multi_region_no_interest
10.01,79,13,multi_region_no_interest
